2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:20 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:20 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:21 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:21 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:22 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:22 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:22 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:22 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:22 >>> Controle administrativo/Login de usuário True
